date,shift,biomass_type,carbon_content,time_collected,weight
5/10/2024,7 am - 5 pm,Bark,43%,10:00 AM,0.1069
5/10/2024,7 am - 5 pm,Bark,50.77%,12:16 PM,0.1075
5/10/2024,7 am - 5 pm,Bark,34.29%,1:45 PM,0.1005
5/13/2024,7 am - 5 pm,Bark,44.52%,7:20 AM,0.1013
5/13/2024,7 am - 5 pm,Saw,49.79%,10:00 AM,0.1047
5/13/2024,7 am - 5 pm,Saw,47.50%,1:00 PM,0.1037
5/14/2024,7 am - 5 pm,Bark,44.48%,8:31 AM,0.1049
5/14/2024,7 am - 5 pm,Bark,42.45%,10:45 AM,0.1064
5/14/2024,7 am - 5 pm,Saw,46.46%,12:30 AM,0.1026
5/15/2024,7 am - 5 pm,Mix,47.36%,7:20 AM,0.1041
5/15/2024,7 am - 5 pm,Saw,49.37%,9:35 AM,0.1071
5/15/2024,7 am - 5 pm,Bark,36.38%,12:10 PM,0.1008
5/16/2024,7 am - 5 pm,Mix,45.75%,7:40 AM,0.1042
5/16/2024,7 am - 5 pm,Saw,45.20%,10:35 AM,0.102
5/16/2024,7 am - 5 pm,Saw,46.40%,2:30 AM,0.1136
5/17/2024,7 am - 5 pm,Saw,45.07%,7:13 AM,0.1055
5/17/2024,7 am - 5 pm,Saw,44.86%,11:45 AM,0.1143
5/17/2024,7 am - 5 pm,Saw,46.19%,2:45 PM,0.1021
5/20/2024,7 am - 5 pm,Saw,45.33%,7:20 AM,0.1078
5/20/2024,7 am - 5 pm,Saw,47.99%,11:20 AM,0.1111
5/20/2024,7 am - 5 pm,Saw,44.16%,2:00 PM,0.1031
5/21/2024,7 am - 5 pm,Saw,49.53%,7:15 AM,0.1054
5/21/2024,7 am - 5 pm,Saw,44.66%,12:15 PM,0.1063
5/21/2024,7 am - 5 pm,Saw,45.78%,2:10 PM,0.1101
5/22/2024,7 am - 5 pm,Saw,48.35%,7:07 AM,0.1159
5/22/2024,7 am - 5 pm,Saw,47.57%,11:15 AM,0.107
5/22/2024,7 am - 5 pm,Saw,45.08%,2:00 PM,0.1092
5/23/2024,7 am - 5 pm,Saw,47.14%,8:05 AM,0.104
5/23/2024,7 am - 5 pm,Saw,48.79%,12:00 PM,0.0968
5/23/2024,7 am - 5 pm,Saw,48.10%,2:30 PM,0.108
5/29/2024,7 am - 5 pm,Saw,45.34%,1:00 PM,0.1141
5/30/2024,7 am - 5 pm,Saw,50.42%,7:10 AM,0.1134
5/30/2024,7 am - 5 pm,Saw,49.13%,11:10 AM,0.1036
5/30/2024,7 am - 5 pm,Saw,48.11%,3:00 PM,0.1083